needid,NeedTitle,Description,Agencyid,AgencyName,category,agencyaddress,agencycity,agencystate,agencyzip,phone,email
17,Book/literacy fairs,Help organize a literary and book fair in Studio City,38938,America's Fallen Heroes Fund,Education,12731 Moorpark Street ,Studio City,CA  ,91604,555-123-8938,fake38938@email.com
18,Career Days,Help organize a career day at an agency or school in Studio City,38938,America's Fallen Heroes Fund,Education,12731 Moorpark Street ,Studio City,CA  ,91604,555-123-8938,fake38938@email.com
19,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Studio City,38938,America's Fallen Heroes Fund,Education,12731 Moorpark Street ,Studio City,CA  ,91604,555-123-8938,fake38938@email.com
20,After-school homework help/tutoring,Tutor students after school in Studio City,38938,America's Fallen Heroes Fund,Education,12731 Moorpark Street ,Studio City,CA  ,91604,555-123-8938,fake38938@email.com
21,Mentoring,Mentor a Teenager in Studio City,38938,America's Fallen Heroes Fund,Education,12731 Moorpark Street ,Studio City,CA  ,91604,555-123-8938,fake38938@email.com
22,Graduations,Help at a High School student graduation ceremony in Studio City,38938,America's Fallen Heroes Fund,Education,12731 Moorpark Street ,Studio City,CA  ,91604,555-123-8938,fake38938@email.com
23,Book/literacy fairs,Help organize a literary and book fair in Corona,38889,Dandelion Wishes Inc.,Education,655 Shasta Drive ,Corona,CA  ,92881,555-123-8889,fake38889@email.com
24,Career Days,Help organize a career day at an agency or school in Corona,38889,Dandelion Wishes Inc.,Education,655 Shasta Drive ,Corona,CA  ,92881,555-123-8889,fake38889@email.com
25,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Corona,38889,Dandelion Wishes Inc.,Education,655 Shasta Drive ,Corona,CA  ,92881,555-123-8889,fake38889@email.com
26,After-school homework help/tutoring,Tutor students after school in Corona,38889,Dandelion Wishes Inc.,Education,655 Shasta Drive ,Corona,CA  ,92881,555-123-8889,fake38889@email.com
27,Mentoring,Mentor a Teenager in Corona,38889,Dandelion Wishes Inc.,Education,655 Shasta Drive ,Corona,CA  ,92881,555-123-8889,fake38889@email.com
28,Graduations,Help at a High School student graduation ceremony in Corona,38889,Dandelion Wishes Inc.,Education,655 Shasta Drive ,Corona,CA  ,92881,555-123-8889,fake38889@email.com
29,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Redding",38832,Haven Humane Society,BasicNeeds, P.O. Box 992202 ,Redding,CA  ,96099,555-123-8832,fake38832@email.com
30,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Redding,38832,Haven Humane Society,BasicNeeds, P.O. Box 992202 ,Redding,CA  ,96099,555-123-8832,fake38832@email.com
31,Donation sorting,Help Process Gifts for an Organization in Redding,38832,Haven Humane Society,BasicNeeds, P.O. Box 992202 ,Redding,CA  ,96099,555-123-8832,fake38832@email.com
32,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Redding,38832,Haven Humane Society,BasicNeeds, P.O. Box 992202 ,Redding,CA  ,96099,555-123-8832,fake38832@email.com
33,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Redding,38832,Haven Humane Society,BasicNeeds, P.O. Box 992202 ,Redding,CA  ,96099,555-123-8832,fake38832@email.com
34,Childcare,Help provide childcare at an agency serving families in poverty in Studio City,38747,Bridges Academy,Income,3921 Laurel Canyon ,Studio City,CA  ,91604,555-123-8747,fake38747@email.com
35,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Studio City,38747,Bridges Academy,Income,3921 Laurel Canyon ,Studio City,CA  ,91604,555-123-8747,fake38747@email.com
36,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Studio City,38747,Bridges Academy,Income,3921 Laurel Canyon ,Studio City,CA  ,91604,555-123-8747,fake38747@email.com
37,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Studio City,38747,Bridges Academy,Income,3921 Laurel Canyon ,Studio City,CA  ,91604,555-123-8747,fake38747@email.com
38,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Studio City,38747,Bridges Academy,Income,3921 Laurel Canyon ,Studio City,CA  ,91604,555-123-8747,fake38747@email.com
39,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Studio City,38747,Bridges Academy,Income,3921 Laurel Canyon ,Studio City,CA  ,91604,555-123-8747,fake38747@email.com
40,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Irvine",38543,FRISTERS,BasicNeeds,"17971 Sky Park Circle, Bldg. 33 Suite B",Irvine,CA  ,92614,555-123-8543,fake38543@email.com
41,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Irvine,38543,FRISTERS,BasicNeeds,"17971 Sky Park Circle, Bldg. 33 Suite B",Irvine,CA  ,92614,555-123-8543,fake38543@email.com
42,Donation sorting,Help Process Gifts for an Organization in Irvine,38543,FRISTERS,BasicNeeds,"17971 Sky Park Circle, Bldg. 33 Suite B",Irvine,CA  ,92614,555-123-8543,fake38543@email.com
43,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Irvine,38543,FRISTERS,BasicNeeds,"17971 Sky Park Circle, Bldg. 33 Suite B",Irvine,CA  ,92614,555-123-8543,fake38543@email.com
44,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Irvine,38543,FRISTERS,BasicNeeds,"17971 Sky Park Circle, Bldg. 33 Suite B",Irvine,CA  ,92614,555-123-8543,fake38543@email.com
45,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in San Mateo",38168,Peninsula Family Service,BasicNeeds,24 Second Avenue ,San Mateo,CA  ,94401,555-123-8168,fake38168@email.com
46,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in San Mateo,38168,Peninsula Family Service,BasicNeeds,24 Second Avenue ,San Mateo,CA  ,94401,555-123-8168,fake38168@email.com
47,Donation sorting,Help Process Gifts for an Organization in San Mateo,38168,Peninsula Family Service,BasicNeeds,24 Second Avenue ,San Mateo,CA  ,94401,555-123-8168,fake38168@email.com
48,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in San Mateo,38168,Peninsula Family Service,BasicNeeds,24 Second Avenue ,San Mateo,CA  ,94401,555-123-8168,fake38168@email.com
49,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in San Mateo,38168,Peninsula Family Service,BasicNeeds,24 Second Avenue ,San Mateo,CA  ,94401,555-123-8168,fake38168@email.com
50,Book/literacy fairs,Help organize a literary and book fair in Los Angeles,38102,Lincoln Memorial Congregational Church,Education,4126 South Arlington Avenue ,Los Angeles,CA  ,90008,555-123-8102,fake38102@email.com
51,Career Days,Help organize a career day at an agency or school in Los Angeles,38102,Lincoln Memorial Congregational Church,Education,4126 South Arlington Avenue ,Los Angeles,CA  ,90008,555-123-8102,fake38102@email.com
52,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Angeles,38102,Lincoln Memorial Congregational Church,Education,4126 South Arlington Avenue ,Los Angeles,CA  ,90008,555-123-8102,fake38102@email.com
53,After-school homework help/tutoring,Tutor students after school in Los Angeles,38102,Lincoln Memorial Congregational Church,Education,4126 South Arlington Avenue ,Los Angeles,CA  ,90008,555-123-8102,fake38102@email.com
54,Mentoring,Mentor a Teenager in Los Angeles,38102,Lincoln Memorial Congregational Church,Education,4126 South Arlington Avenue ,Los Angeles,CA  ,90008,555-123-8102,fake38102@email.com
55,Graduations,Help at a High School student graduation ceremony in Los Angeles,38102,Lincoln Memorial Congregational Church,Education,4126 South Arlington Avenue ,Los Angeles,CA  ,90008,555-123-8102,fake38102@email.com
56,Book/literacy fairs,Help organize a literary and book fair in Los Alamitos,38082,Saving Shibas Inc.,Education, P.O. Box 2541 ,Los Alamitos,CA  ,90720,555-123-8082,fake38082@email.com
57,Career Days,Help organize a career day at an agency or school in Los Alamitos,38082,Saving Shibas Inc.,Education, P.O. Box 2541 ,Los Alamitos,CA  ,90720,555-123-8082,fake38082@email.com
58,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Alamitos,38082,Saving Shibas Inc.,Education, P.O. Box 2541 ,Los Alamitos,CA  ,90720,555-123-8082,fake38082@email.com
59,After-school homework help/tutoring,Tutor students after school in Los Alamitos,38082,Saving Shibas Inc.,Education, P.O. Box 2541 ,Los Alamitos,CA  ,90720,555-123-8082,fake38082@email.com
60,Mentoring,Mentor a Teenager in Los Alamitos,38082,Saving Shibas Inc.,Education, P.O. Box 2541 ,Los Alamitos,CA  ,90720,555-123-8082,fake38082@email.com
61,Graduations,Help at a High School student graduation ceremony in Los Alamitos,38082,Saving Shibas Inc.,Education, P.O. Box 2541 ,Los Alamitos,CA  ,90720,555-123-8082,fake38082@email.com
62,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Laguna Beach",38041,New Life Ministries,BasicNeeds,401 Glenneyre Street ,Laguna Beach,CA  ,92651,555-123-8041,fake38041@email.com
63,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Laguna Beach,38041,New Life Ministries,BasicNeeds,401 Glenneyre Street ,Laguna Beach,CA  ,92651,555-123-8041,fake38041@email.com
64,Donation sorting,Help Process Gifts for an Organization in Laguna Beach,38041,New Life Ministries,BasicNeeds,401 Glenneyre Street ,Laguna Beach,CA  ,92651,555-123-8041,fake38041@email.com
65,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Laguna Beach,38041,New Life Ministries,BasicNeeds,401 Glenneyre Street ,Laguna Beach,CA  ,92651,555-123-8041,fake38041@email.com
66,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Laguna Beach,38041,New Life Ministries,BasicNeeds,401 Glenneyre Street ,Laguna Beach,CA  ,92651,555-123-8041,fake38041@email.com
67,Book/literacy fairs,Help organize a literary and book fair in Menifee,37983,Joshua's Journey of Hope,Education,28423 Long Meadow Drive ,Menifee,CA  ,92584,555-123-7983,fake37983@email.com
68,Career Days,Help organize a career day at an agency or school in Menifee,37983,Joshua's Journey of Hope,Education,28423 Long Meadow Drive ,Menifee,CA  ,92584,555-123-7983,fake37983@email.com
69,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Menifee,37983,Joshua's Journey of Hope,Education,28423 Long Meadow Drive ,Menifee,CA  ,92584,555-123-7983,fake37983@email.com
70,After-school homework help/tutoring,Tutor students after school in Menifee,37983,Joshua's Journey of Hope,Education,28423 Long Meadow Drive ,Menifee,CA  ,92584,555-123-7983,fake37983@email.com
71,Mentoring,Mentor a Teenager in Menifee,37983,Joshua's Journey of Hope,Education,28423 Long Meadow Drive ,Menifee,CA  ,92584,555-123-7983,fake37983@email.com
72,Graduations,Help at a High School student graduation ceremony in Menifee,37983,Joshua's Journey of Hope,Education,28423 Long Meadow Drive ,Menifee,CA  ,92584,555-123-7983,fake37983@email.com
73,Childcare,Help provide childcare at an agency serving families in poverty in Anaheim,37908,Orange County Family Justice Center Foundation,Income,150 West Vermont Avenue ,Anaheim,CA  ,92805,555-123-7908,fake37908@email.com
74,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Anaheim,37908,Orange County Family Justice Center Foundation,Income,150 West Vermont Avenue ,Anaheim,CA  ,92805,555-123-7908,fake37908@email.com
75,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Anaheim,37908,Orange County Family Justice Center Foundation,Income,150 West Vermont Avenue ,Anaheim,CA  ,92805,555-123-7908,fake37908@email.com
76,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Anaheim,37908,Orange County Family Justice Center Foundation,Income,150 West Vermont Avenue ,Anaheim,CA  ,92805,555-123-7908,fake37908@email.com
77,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Anaheim,37908,Orange County Family Justice Center Foundation,Income,150 West Vermont Avenue ,Anaheim,CA  ,92805,555-123-7908,fake37908@email.com
78,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Anaheim,37908,Orange County Family Justice Center Foundation,Income,150 West Vermont Avenue ,Anaheim,CA  ,92805,555-123-7908,fake37908@email.com
79,Childcare,Help provide childcare at an agency serving families in poverty in Inglewood,37897,Century Center for Economic Opportunity Inc. (CCEO),Income,5021 Lennox Blvd. ,Inglewood,CA  ,90304,555-123-7897,fake37897@email.com
80,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Inglewood,37897,Century Center for Economic Opportunity Inc. (CCEO),Income,5021 Lennox Blvd. ,Inglewood,CA  ,90304,555-123-7897,fake37897@email.com
81,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in Inglewood,37897,Century Center for Economic Opportunity Inc. (CCEO),Income,5021 Lennox Blvd. ,Inglewood,CA  ,90304,555-123-7897,fake37897@email.com
82,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in Inglewood,37897,Century Center for Economic Opportunity Inc. (CCEO),Income,5021 Lennox Blvd. ,Inglewood,CA  ,90304,555-123-7897,fake37897@email.com
83,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in Inglewood,37897,Century Center for Economic Opportunity Inc. (CCEO),Income,5021 Lennox Blvd. ,Inglewood,CA  ,90304,555-123-7897,fake37897@email.com
84,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in Inglewood,37897,Century Center for Economic Opportunity Inc. (CCEO),Income,5021 Lennox Blvd. ,Inglewood,CA  ,90304,555-123-7897,fake37897@email.com
85,Childcare,Help provide childcare at an agency serving families in poverty in North Hollywood,37867,Wesley School,Income,4832 Tujunga Avenue ,North Hollywood,CA  ,91601,555-123-7867,fake37867@email.com
86,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in North Hollywood,37867,Wesley School,Income,4832 Tujunga Avenue ,North Hollywood,CA  ,91601,555-123-7867,fake37867@email.com
87,Computer Literacy Workshops,Teach people in under-served communities basic computer literacy in North Hollywood,37867,Wesley School,Income,4832 Tujunga Avenue ,North Hollywood,CA  ,91601,555-123-7867,fake37867@email.com
88,Job Interview/Resume Workshops,Help the unemployed prepared for a job interview in North Hollywood,37867,Wesley School,Income,4832 Tujunga Avenue ,North Hollywood,CA  ,91601,555-123-7867,fake37867@email.com
89,Earned Income Tax Credit (EITC) a.k.a. Volunteer Income Tax Assistance (VITA),Help poor families prepare their tax forms for EITC in North Hollywood,37867,Wesley School,Income,4832 Tujunga Avenue ,North Hollywood,CA  ,91601,555-123-7867,fake37867@email.com
90,Life Skills Class Facilitation,Help poor families and individuals acquire the life-skills they need to succeed. in North Hollywood,37867,Wesley School,Income,4832 Tujunga Avenue ,North Hollywood,CA  ,91601,555-123-7867,fake37867@email.com
91,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in El Segundo",37842,Sisters by Heart,BasicNeeds, P.O. Box 511 ,El Segundo,CA  ,90245,555-123-7842,fake37842@email.com
92,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in El Segundo,37842,Sisters by Heart,BasicNeeds, P.O. Box 511 ,El Segundo,CA  ,90245,555-123-7842,fake37842@email.com
93,Donation sorting,Help Process Gifts for an Organization in El Segundo,37842,Sisters by Heart,BasicNeeds, P.O. Box 511 ,El Segundo,CA  ,90245,555-123-7842,fake37842@email.com
94,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in El Segundo,37842,Sisters by Heart,BasicNeeds, P.O. Box 511 ,El Segundo,CA  ,90245,555-123-7842,fake37842@email.com
95,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in El Segundo,37842,Sisters by Heart,BasicNeeds, P.O. Box 511 ,El Segundo,CA  ,90245,555-123-7842,fake37842@email.com
96,Book/literacy fairs,Help organize a literary and book fair in Bakersfield,37834,St John's Lutheran Church,Education,4500 Buena Vista Road ,Bakersfield,CA  ,93311,555-123-7834,fake37834@email.com
97,Career Days,Help organize a career day at an agency or school in Bakersfield,37834,St John's Lutheran Church,Education,4500 Buena Vista Road ,Bakersfield,CA  ,93311,555-123-7834,fake37834@email.com
98,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Bakersfield,37834,St John's Lutheran Church,Education,4500 Buena Vista Road ,Bakersfield,CA  ,93311,555-123-7834,fake37834@email.com
99,After-school homework help/tutoring,Tutor students after school in Bakersfield,37834,St John's Lutheran Church,Education,4500 Buena Vista Road ,Bakersfield,CA  ,93311,555-123-7834,fake37834@email.com
100,Mentoring,Mentor a Teenager in Bakersfield,37834,St John's Lutheran Church,Education,4500 Buena Vista Road ,Bakersfield,CA  ,93311,555-123-7834,fake37834@email.com
101,Graduations,Help at a High School student graduation ceremony in Bakersfield,37834,St John's Lutheran Church,Education,4500 Buena Vista Road ,Bakersfield,CA  ,93311,555-123-7834,fake37834@email.com
102,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Manhattan Beach",37741,P S I Love You,BasicNeeds, P.O. Box 2169 ,Manhattan Beach,CA  ,90267,555-123-7741,fake37741@email.com
103,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Manhattan Beach,37741,P S I Love You,BasicNeeds, P.O. Box 2169 ,Manhattan Beach,CA  ,90267,555-123-7741,fake37741@email.com
104,Donation sorting,Help Process Gifts for an Organization in Manhattan Beach,37741,P S I Love You,BasicNeeds, P.O. Box 2169 ,Manhattan Beach,CA  ,90267,555-123-7741,fake37741@email.com
105,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Manhattan Beach,37741,P S I Love You,BasicNeeds, P.O. Box 2169 ,Manhattan Beach,CA  ,90267,555-123-7741,fake37741@email.com
106,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Manhattan Beach,37741,P S I Love You,BasicNeeds, P.O. Box 2169 ,Manhattan Beach,CA  ,90267,555-123-7741,fake37741@email.com
107,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in San Diego",37736,Rock Cancer Care Inc.,BasicNeeds, P.O. Box 17716 ,San Diego,CA  ,92177,555-123-7736,fake37736@email.com
108,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in San Diego,37736,Rock Cancer Care Inc.,BasicNeeds, P.O. Box 17716 ,San Diego,CA  ,92177,555-123-7736,fake37736@email.com
109,Donation sorting,Help Process Gifts for an Organization in San Diego,37736,Rock Cancer Care Inc.,BasicNeeds, P.O. Box 17716 ,San Diego,CA  ,92177,555-123-7736,fake37736@email.com
110,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in San Diego,37736,Rock Cancer Care Inc.,BasicNeeds, P.O. Box 17716 ,San Diego,CA  ,92177,555-123-7736,fake37736@email.com
111,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in San Diego,37736,Rock Cancer Care Inc.,BasicNeeds, P.O. Box 17716 ,San Diego,CA  ,92177,555-123-7736,fake37736@email.com
112,Book/literacy fairs,Help organize a literary and book fair in Los Angeles,37674,KIPP LA School,Education,4545 Dozier Ave. ,Los Angeles,CA  ,90022,555-123-7674,fake37674@email.com
113,Career Days,Help organize a career day at an agency or school in Los Angeles,37674,KIPP LA School,Education,4545 Dozier Ave. ,Los Angeles,CA  ,90022,555-123-7674,fake37674@email.com
114,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Los Angeles,37674,KIPP LA School,Education,4545 Dozier Ave. ,Los Angeles,CA  ,90022,555-123-7674,fake37674@email.com
115,After-school homework help/tutoring,Tutor students after school in Los Angeles,37674,KIPP LA School,Education,4545 Dozier Ave. ,Los Angeles,CA  ,90022,555-123-7674,fake37674@email.com
116,Mentoring,Mentor a Teenager in Los Angeles,37674,KIPP LA School,Education,4545 Dozier Ave. ,Los Angeles,CA  ,90022,555-123-7674,fake37674@email.com
117,Graduations,Help at a High School student graduation ceremony in Los Angeles,37674,KIPP LA School,Education,4545 Dozier Ave. ,Los Angeles,CA  ,90022,555-123-7674,fake37674@email.com
118,Book/literacy fairs,Help organize a literary and book fair in Santa Ana,37662,Grandmas House of Hope,Education,1505 East 17th Street #116,Santa Ana,CA  ,92705,555-123-7662,fake37662@email.com
119,Career Days,Help organize a career day at an agency or school in Santa Ana,37662,Grandmas House of Hope,Education,1505 East 17th Street #116,Santa Ana,CA  ,92705,555-123-7662,fake37662@email.com
120,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Santa Ana,37662,Grandmas House of Hope,Education,1505 East 17th Street #116,Santa Ana,CA  ,92705,555-123-7662,fake37662@email.com
121,After-school homework help/tutoring,Tutor students after school in Santa Ana,37662,Grandmas House of Hope,Education,1505 East 17th Street #116,Santa Ana,CA  ,92705,555-123-7662,fake37662@email.com
122,Mentoring,Mentor a Teenager in Santa Ana,37662,Grandmas House of Hope,Education,1505 East 17th Street #116,Santa Ana,CA  ,92705,555-123-7662,fake37662@email.com
123,Graduations,Help at a High School student graduation ceremony in Santa Ana,37662,Grandmas House of Hope,Education,1505 East 17th Street #116,Santa Ana,CA  ,92705,555-123-7662,fake37662@email.com
124,Book/literacy fairs,Help organize a literary and book fair in Santa Cruz,37465,Trichotillomania Learning Center,Education,207 McPherson Street Suite H,Santa Cruz,CA  ,95060,555-123-7465,fake37465@email.com
125,Career Days,Help organize a career day at an agency or school in Santa Cruz,37465,Trichotillomania Learning Center,Education,207 McPherson Street Suite H,Santa Cruz,CA  ,95060,555-123-7465,fake37465@email.com
126,Back to school events (supplies/backpack drives),Help prepare back to school events in under-served communities in Santa Cruz,37465,Trichotillomania Learning Center,Education,207 McPherson Street Suite H,Santa Cruz,CA  ,95060,555-123-7465,fake37465@email.com
127,After-school homework help/tutoring,Tutor students after school in Santa Cruz,37465,Trichotillomania Learning Center,Education,207 McPherson Street Suite H,Santa Cruz,CA  ,95060,555-123-7465,fake37465@email.com
128,Mentoring,Mentor a Teenager in Santa Cruz,37465,Trichotillomania Learning Center,Education,207 McPherson Street Suite H,Santa Cruz,CA  ,95060,555-123-7465,fake37465@email.com
129,Graduations,Help at a High School student graduation ceremony in Santa Cruz,37465,Trichotillomania Learning Center,Education,207 McPherson Street Suite H,Santa Cruz,CA  ,95060,555-123-7465,fake37465@email.com
130,Welcome Home Kit assembly,"Help assemble a Welcome Home Gift Basket for a formerly home person, scheduled to occupy a Permanent Supportive Housing dwelling in Simi Valley",37433,Christadephian Bible Mission of the America,BasicNeeds,567 Astorian Drive ,Simi Valley,CA  ,93065,555-123-7433,fake37433@email.com
131,"Basic needs ""kit"" assembly",Help assemble a kit to help families in need navigate the maze of services available to them in Simi Valley,37433,Christadephian Bible Mission of the America,BasicNeeds,567 Astorian Drive ,Simi Valley,CA  ,93065,555-123-7433,fake37433@email.com
132,Donation sorting,Help Process Gifts for an Organization in Simi Valley,37433,Christadephian Bible Mission of the America,BasicNeeds,567 Astorian Drive ,Simi Valley,CA  ,93065,555-123-7433,fake37433@email.com
133,Cooking groups,Participate in a cooking group to prepare food for a homeless shelter in Simi Valley,37433,Christadephian Bible Mission of the America,BasicNeeds,567 Astorian Drive ,Simi Valley,CA  ,93065,555-123-7433,fake37433@email.com
134,Gift/Food Drives,Help organize a food drive or a gift drive for a shelter serving the homeless in Simi Valley,37433,Christadephian Bible Mission of the America,BasicNeeds,567 Astorian Drive ,Simi Valley,CA  ,93065,555-123-7433,fake37433@email.com
135,Childcare,Help provide childcare at an agency serving families in poverty in Torrance            ,37315,Bert Lynn Middle School,Income,5038 Halison Street ,Torrance            ,CA  ,90503,555-123-7315,fake37315@email.com
136,Financial Literacy Workshops,Conduct financial literacy workshops to help educate struggling families in Torrance            ,37315,Bert Lynn Middle School,Income,5038 Halison Street ,Torrance            ,CA  ,90503,555-123-7315,fake37315@email.com
